Identificador Gr�fic intern;captive;comments_count;community_taxon_id;created_at;delta;description;iconic_taxon_id;id;id_please;identifications_count;location_is_exact;map_scale;mappable;num_identification_agreements;num_identification_disagreements;observation_photos_count;observation_sounds_count;observed_on;observed_on_string;place_guess;positional_accuracy;public_positional_accuracy;quality_grade;species_guess;taxon_id;time_observed_at;time_zone;updated_at;uri;user_id;uuid;zic_time_zone;user_login;iconic_taxon_name;created_at_utc;updated_at_utc;time_observed_at_utc;coordinates_obscured;Fenofase;project_id_0;project_title_0;photo_id_0;photo_large_url_0;photo_attribution_0;photo_id_1;photo_large_url_1;photo_attribution_1;photo_id_2;photo_large_url_2;photo_attribution_2;photo_id_3;photo_large_url_3;photo_attribution_3;taxon_name;taxon_rank;identif_created_at_0;identif_current_0;identif_id_0;identif_created_at_1;identif_current_1;identif_id_1;oauth_application_id;Codi del punt d'observaci�;Identificador d'individu;Codi de l'observador;identif_created_at_2;identif_current_2;identif_id_2;identif_created_at_3;identif_current_3;identif_id_3;positioning_device;positioning_method;out_of_range;photo_id_4;photo_large_url_4;photo_attribution_4;photo_id_5;photo_large_url_5;photo_attribution_5;photo_id_6;photo_large_url_6;photo_attribution_6;project_id_1;project_title_1;project_id_2;project_title_2;Fecha de la identificaci�n (dwc);Calle o plaza;identif_created_at_4;identif_current_4;identif_id_4;identif_created_at_5;identif_current_5;identif_id_5;Altitud;Nom vulgar;H�bitat o ecosistema;Zona protegida;project_id_3;project_title_3;identif_taxon_change_id_2;identif_updated_at_2;identif_user_id_2;identif_user_login_2;identif_user_name_2;identif_taxon_name_2;identif_taxon_rank_2;identif_taxon_change_id_3;identif_updated_at_3;identif_user_id_3;identif_user_login_3;identif_user_name_3;identif_taxon_name_3;identif_taxon_rank_3;geoprivacy;Si �s planta: tipus de fulla;Si �s planta: tipus de dispersi� de les llavors;identif_created_at_6;identif_current_6;identif_id_6;Enlace a la foto;usuario externo;Estadio;Comunidad aut�noma;Nombre del paraje;site_id;cached_votes_total;last_indexed_at;captive_flag;faves_count;Centre/Entitat;Identificador de l'individu observat;owners_identification_from_vision;taxon_geoprivacy;longitude;latitude
0;F;0;2507;2020-04-09T12:43:42+02:00;F;;12;258288;F;2;F;17;T;1;0;4;0;16/03/2020;16/03/2020 12:37;;5;5;research;Morus alba;2507;2020-03-16T12:37:00+01:00;Madrid;2020-04-09T12:50:57+02:00;http://natusfera.gbif.es/observations/258288;1267;9c356b2f-53f5-4453-acbf-45d4d7d63bef;Europe/Madrid;miriamgarces;Plantae;2020-04-09T10:43:42Z;2020-04-09T10:50:57Z;2020-03-16T11:37:00Z;F;Fulles a mig desenvolupar;302;RitmeNatura - Observacions ocasionals;333304;http://natusfera.gbif.es/attachments/local_photos/files/333304/large/IMG_3969.JPEG?1586429112;(c) miriamgarces, algunos derechos reservados (CC BY-NC);333305;http://natusfera.gbif.es/attachments/local_photos/files/333305/large/IMG_3970.JPEG?1586429116;(c) miriamgarces, algunos derechos reservados (CC BY-NC);333306;http://natusfera.gbif.es/attachments/local_photos/files/333306/large/IMG_3971.JPEG?1586429119;(c) miriamgarces, algunos derechos reservados (CC BY-NC);333307;http://natusfera.gbif.es/attachments/local_photos/files/333307/large/IMG_3972.JPEG?1586429123;(c) miriamgarces, algunos derechos reservados (CC BY-NC);Morus alba;species;2020-04-09T12:43:42+02:00;T;323635;2020-04-09T12:50:57+02:00;T;323637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.094179;41.361
1;F;1;;2020-04-09T10:33:58+02:00;F;llegada masiva de golondrinas-;5;258264;T;1;F;15;T;0;0;0;0;27/03/2020;27/03/2020;;99;99;casual;Golondrina com�n;539;;Hawaii;2020-04-09T16:41:25+02:00;http://natusfera.gbif.es/observations/258264;12911;cbf16c12-f8fe-47f3-a6b0-77c2da08b34c;Pacific/Honolulu;rmr;Aves;2020-04-09T08:33:58Z;2020-04-09T14:41:25Z;;F;Cap d'aquestes;302;RitmeNatura - Observacions ocasionals;;;;;;;;;;;;;Hirundo rustica;species;2020-04-09T10:33:58+02:00;T;323621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.489093;41.68966
2;F;2;197;2020-03-29T13:52:31+02:00;F;;12;257774;T;2;F;;T;1;0;2;0;29/03/2020;Sun Mar 29 2020 13:50:36 GMT+0200 (GMT+2);Rambla de la Marquesa de Castellbell, 37-45, Sant Feliu de Llobregat, Catalu�a, ES;10;10;research;Platanus � hispanica;197;2020-03-29T13:50:36+02:00;Africa/Johannesburg;2020-03-30T17:21:11+02:00;http://natusfera.gbif.es/observations/257774;4520;d1513b4f-1e4a-4975-83e6-32d0afc501a9;;mfernansez;Plantae;2020-03-29T11:52:31Z;2020-03-30T15:21:11Z;2020-03-29T11:50:36Z;F;Fulles a mig desenvolupar;314;RitmeNatura - Observacions recurrents;332629;http://natusfera.gbif.es/attachments/local_photos/files/332629/large/BD2E4486-56B6-4AB9-B0B8-73CE06AA0DD7-large.jpg?1585482808;(c) mfernansez, algunos derechos reservados (CC BY-NC);332630;http://natusfera.gbif.es/attachments/local_photos/files/332630/large/A06436F8-4AEE-4BA6-BF82-52F3FE9FA124-large.jpg?1585482813;(c) mfernansez, algunos derechos reservados (CC BY-NC);;;;;;;Platanus �hispanica;species;2020-03-29T13:52:31+02:00;T;322785;2020-03-30T11:56:56+02:00;T;322919;5;;;Verges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.051037038;41.38240814
3;T;0;2502;2020-03-08T15:39:25+01:00;F;;12;255898;T;3;F;;F;2;0;4;0;08/03/2020;Sun Mar 08 2020 15:31:56 GMT+0100 (GMT+1);Carrer de Pere �lvarez, 63, Sant Feliu de Llobregat, Catalunya, ES;26;26;casual;Prunus cerasifera;2502;2020-03-08T15:31:56+01:00;Amsterdam;2020-03-09T12:06:31+01:00;http://natusfera.gbif.es/observations/255898;4601;ead723e4-cf21-4979-974b-123f31c0c88d;Europe/Amsterdam;csanchez1;Plantae;2020-03-08T14:39:25Z;2020-03-09T11:06:31Z;2020-03-08T14:31:56Z;F;Brot de les primeres fulles;314;RitmeNatura - Observacions recurrents;330992;http://natusfera.gbif.es/attachments/local_photos/files/330992/large/14D18A1F-2CE6-4436-B324-DB75C1780752-large.jpg?1583678370;(c) Cl�udia S�nchez, algunos derechos reservados (CC BY-NC);330993;http://natusfera.gbif.es/attachments/local_photos/files/330993/large/600DE4E9-1E64-431B-84DB-E5EC15DBC591-large.jpg?1583678374;(c) Cl�udia S�nchez, algunos derechos reservados (CC BY-NC);330994;http://natusfera.gbif.es/attachments/local_photos/files/330994/large/180504B7-C822-4746-A6C4-4E08A525CAB8-large.jpg?1583678377;(c) Cl�udia S�nchez, algunos derechos reservados (CC BY-NC);330996;http://natusfera.gbif.es/attachments/local_photos/files/330996/large/8EA9B5A3-AC81-44FC-B86B-322B71656AE4-large.jpg?1583678402;(c);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;F;0;197;2020-03-07T13:04:22+01:00;F;;12;255814;T;3;F;;T;2;0;3;0;07/03/2020;Sat Mar 07 2020 13:02:38 GMT+0100 (GMT+1);Rambla de la Marquesa de Castellbell, 37, Sant Feliu de Llobregat, Catalu�a, ES;10;10;research;Platanus � hispanica;197;2020-03-07T13:02:38+01:00;Amsterdam;2020-03-23T13:42:16+01:00;http://natusfera.gbif.es/observations/255814;4520;1386fcc6-3165-4cd7-8b92-01407859b954;Europe/Amsterdam;mfernansez;Plantae;2020-03-07T12:04:22Z;2020-03-23T12:42:16Z;2020-03-07T12:02:38Z;F;Cap d'aquestes;314;RitmeNatura - Observacions recurrents;330902;http://natusfera.gbif.es/attachments/local_photos/files/330902/large/37F2B8CD-2B8D-4596-BA66-5DFE7A81EB2B-large.jpg?1583582667;(c) mfernansez, algunos derechos reservados (CC BY-NC);330903;http://natusfera.gbif.es/attachments/local_photos/files/330903/large/83BF54FB-5A74-4EF7-9282-736CC029879B-large.jpg?1583582673;(c) mfernansez, algunos derechos reservados (CC BY-NC);330904;http://natusfera.gbif.es/attachments/local_photos/files/330904/large/8A0DEEA4-F47B-4CEF-8DAA-35279C3E276F-large.jpg?1583582678;(c) mfernansez, algunos derechos reservados (CC BY-NC);;;;Platanus �hispanica;species;2020-03-07T13:04:22+01:00;T;319717;2020-03-09T09:03:45+01:00;T;320125;5;;;;2020-03-09T12:06:11+01:00;T;320181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;T;1;769;2020-03-05T10:07:24+01:00;F;CAT - Presseguers en plena floraci�--ESP - Melocotoneros en plena floraci�n--ENG - Full bloomed peach trees;12;255658;F;2;F;14;F;1;0;1;0;04/03/2020;04/03/2020;Sant Joan Desp� - Les Begudes;49;49;casual;Prunus persica;769;;Madrid;2020-03-05T10:19:50+01:00;http://natusfera.gbif.es/observations/255658;1731;72e43cbc-c78f-4944-8597-1f956ea772b6;Europe/Madrid;xavi-de-yzaguirre;Plantae;2020-03-05T09:07:24Z;2020-03-05T09:19:50Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);302;RitmeNatura - Observacions ocasionals;330749;http://natusfera.gbif.es/attachments/local_photos/files/330749/large/20200304_Presseguers.jpg?1583399248;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Prunus persica;species;2020-03-05T10:07:24+01:00;T;319470;2020-03-05T10:19:39+01:00;T;319478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.050934;41.371234
6;F;0;2182;2020-03-05T10:04:23+01:00;F;CAT - Fonoll rebrotant--ESP - Hinojo rebrotando--ENG - Sprouting leaves of fennel;12;255657;F;2;F;14;T;1;0;1;0;04/03/2020;04/03/2020;Sant Joan Desp� - Les Begudes;49;49;research;foeniculum vulgare;2182;;Madrid;2020-03-05T10:18:26+01:00;http://natusfera.gbif.es/observations/255657;1731;4ffad349-47e4-4301-aaa3-9e1b96374d4c;Europe/Madrid;xavi-de-yzaguirre;Plantae;2020-03-05T09:04:23Z;2020-03-05T09:18:26Z;;F;Brot de les primeres fulles;314;RitmeNatura - Observacions recurrents;330748;http://natusfera.gbif.es/attachments/local_photos/files/330748/large/20200304_fulles_fonoll.jpg?1583399070;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Foeniculum vulgare;species;2020-03-05T10:04:23+01:00;T;319469;2020-03-05T10:18:25+01:00;T;319472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.04869;41.372087
7;F;0;6820;2020-03-02T11:07:47+01:00;F;CAT - Ravenissa blanca florida--ESP - Rabaniza blanda florecida--ENG - Full bloomed white wall rocket;12;255461;F;2;F;11;T;1;0;1;0;29/02/2020;29/02/2020;Penelles (la Noguera);1586;1586;research;Diplotaxis erucoides;6820;;Madrid;2020-03-05T10:19:20+01:00;http://natusfera.gbif.es/observations/255461;1731;08f8f744-5b73-4368-9a7e-c20af6573039;Europe/Madrid;xavi-de-yzaguirre;Plantae;2020-03-02T10:07:47Z;2020-03-05T09:19:20Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);302;RitmeNatura - Observacions ocasionals;330584;http://natusfera.gbif.es/attachments/local_photos/files/330584/large/IMG_20200229_154946.jpg?1583143674;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Diplotaxis erucoides;species;2020-03-02T11:07:47+01:00;T;319097;2020-03-05T10:19:20+01:00;T;319477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.966693;41.756926
8;F;0;23917;2020-03-02T05:00:26-05:00;F;CAT - Codonyer del jap� en plena floraci�--ESP - Membrillero del Jap�n en plena floraci�--ENG - Chaenomeles in full bloom;12;255460;F;2;F;12;T;1;0;1;0;29/02/2020;29/02/2020;Penelles (la Noguera);792;792;research;Chaenomeles japonica;23917;;Madrid;2020-03-05T04:19:17-05:00;http://natusfera.gbif.es/observations/255460;1731;7857f2b3-f52e-4c0c-aa55-df992d2d056a;Europe/Madrid;xavi-de-yzaguirre;Plantae;2020-03-02T10:00:26Z;2020-03-05T09:19:17Z;;F;Plena floraci� (50% de les flors obertes, primers p�tals caiguts o secs);302;RitmeNatura - Observacions ocasionals;330583;http://natusfera.gbif.es/attachments/local_photos/files/330583/large/IMG_20200229_chaenomeles2.jpg?1583143232;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Chaenomeles japonica;species;2020-03-02T05:00:26-05:00;T;319096;2020-03-05T04:19:17-05:00;T;319476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9671;41.7566
9;T;0;23917;2020-03-02T04:47:19-05:00;F;CAT - Codonyer del jap� brotant fulles--ESP - Membrillo japon�s brotando hojas--ENG - Chaenomeles sprouting leaves;12;255457;F;2;F;11;F;1;0;1;0;29/02/2020;29/02/2020;Penelles (la Noguera);792;792;casual;Chaenomeles japonica;23917;;Madrid;2020-03-05T04:19:14-05:00;http://natusfera.gbif.es/observations/255457;1731;e4969102-70e0-4356-a949-8b06b10aee33;Europe/Madrid;xavi-de-yzaguirre;Plantae;2020-03-02T09:47:19Z;2020-03-05T09:19:14Z;;F;Brot de les primeres fulles;302;RitmeNatura - Observacions ocasionals;330580;http://natusfera.gbif.es/attachments/local_photos/files/330580/large/IMG_20200229_chaenomeles.jpg?1583142442;(c) xavi-de-yzaguirre, algunos derechos reservados (CC BY-NC);;;;;;;;;;Chaenomeles japonica;species;2020-03-02T04:47:19-05:00;T;319092;2020-03-05T04:19:14-05:00;T;319475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9671;41.7566
